Bydel nr.,Bydelsnavn,Delbydel nr.,Delbydelsnavn,Grunnkrets nr.,Grunnkretsnavn
1,Gamle Oslo,11,Lodalen,2801,Gamlebyen rode 1
1,Gamle Oslo,11,Lodalen,2802,Gamlebyen rode 2
1,Gamle Oslo,11,Lodalen,2805,Gamlebyen rode 5
1,Gamle Oslo,11,Lodalen,2901,Loenga
1,Gamle Oslo,11,Lodalen,3001,Grønlia
1,Gamle Oslo,11,Lodalen,3501,Kværner
1,Gamle Oslo,11,Lodalen,3513,Ryenberget
1,Gamle Oslo,11,Lodalen,3514,Nygårdskollen
1,Gamle Oslo,11,Lodalen,5701,Øyene
1,Gamle Oslo,12,Grønland,2401,Tøyen rode 1
1,Gamle Oslo,12,Grønland,2501,Grønland rode 1
1,Gamle Oslo,12,Grønland,2502,Grønland rode 2
1,Gamle Oslo,12,Grønland,2503,Grønland rode 3
1,Gamle Oslo,12,Grønland,2504,Grønland rode 4
1,Gamle Oslo,13,Enerhaugen,2505,Grønland rode 5
1,Gamle Oslo,13,Enerhaugen,2506,Grønland rode 6
1,Gamle Oslo,13,Enerhaugen,2601,Kampen rode 1
1,Gamle Oslo,13,Enerhaugen,2605,Kampen rode 5
1,Gamle Oslo,13,Enerhaugen,2803,Gamlebyen rode 3
1,Gamle Oslo,13,Enerhaugen,2804,Gamlebyen rode 4
1,Gamle Oslo,14,Nedre Tøyen,2408,Tøyen rode 8
1,Gamle Oslo,14,Nedre Tøyen,2409,Tøyen rode 9
1,Gamle Oslo,14,Nedre Tøyen,2602,Kampen rode 2
1,Gamle Oslo,14,Nedre Tøyen,2604,Kampen rode 4
1,Gamle Oslo,14,Nedre Tøyen,2606,Kampen rode 6
1,Gamle Oslo,15,Kampen,2603,Kampen rode 3
1,Gamle Oslo,15,Kampen,2607,Kampen rode 7
1,Gamle Oslo,15,Kampen,2608,Kampen rode 8
1,Gamle Oslo,15,Kampen,2609,Kampen rode 9
1,Gamle Oslo,15,Kampen,2610,Kampen rode 10
1,Gamle Oslo,16,Vålerenga,2701,Vålerenga rode 1
1,Gamle Oslo,16,Vålerenga,2702,Vålerenga rode 2
1,Gamle Oslo,16,Vålerenga,2703,Vålerenga rode 3
1,Gamle Oslo,16,Vålerenga,2704,Vålerenga rode 4
1,Gamle Oslo,16,Vålerenga,2705,Vålerenga rode 5
1,Gamle Oslo,16,Vålerenga,2706,Vålerenga rode 6
1,Gamle Oslo,17,Helsfyr,4201,Ensjø
1,Gamle Oslo,17,Helsfyr,4202,Valle
1,Gamle Oslo,17,Helsfyr,4203,Etterstad
1,Gamle Oslo,17,Helsfyr,4204,Helsfyr
1,Gamle Oslo,17,Helsfyr,4210,Brynseng
2,Grünerløkka,21,Grünerløkka vest,207,Sentrum 2 /rode 7
2,Grünerløkka,21,Grünerløkka vest,210,Sentrum 2 /rode 10
2,Grünerløkka,21,Grünerløkka vest,1305,Gamle Aker rode 5
2,Grünerløkka,21,Grünerløkka vest,2301,Grünerløkka rode 1
2,Grünerløkka,21,Grünerløkka vest,2302,Grünerløkka rode 2
2,Grünerløkka,21,Grünerløkka vest,2303,Grünerløkka rode 3
2,Grünerløkka,22,Grünerløkka øst,2304,Grünerløkka rode 4
2,Grünerløkka,22,Grünerløkka øst,2305,Grünerløkka rode 5
2,Grünerløkka,22,Grünerløkka øst,2306,Grünerløkka rode 6
2,Grünerløkka,22,Grünerløkka øst,2311,Grünerløkka rode 11
2,Grünerløkka,22,Grünerløkka øst,2312,Grünerløkka rode 12
2,Grünerløkka,23,Dælenenga,2007,Torshov rode 7
2,Grünerløkka,23,Dælenenga,2008,Torshov rode 8
2,Grünerløkka,23,Dælenenga,2202,Rodeløkka rode 2
2,Grünerløkka,23,Dælenenga,2313,Grünerløkka rode 13
2,Grünerløkka,24,Rodeløkka,2201,Rodeløkka rode 1
2,Grünerløkka,24,Rodeløkka,2203,Rodeløkka rode 3
